person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
-1.084859555797905,-1.0781376460577017,0.053983297580475736,-1.3671618677441222,0.034224959365551304,-0.6550173243290187,-0.9385353208469255,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.439933382274043,-1.0781376460577017,-0.9373691086539057,-0.6567479848990212,0.5977051674417085,3.7677881214714466,-0.6921063015278467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.762396469035974,-0.018788578952560243,-0.1938548039781196,4.000409691529974,1.3663833703664094,3.3913791473607695,-0.9385353208469255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6011649256550085,-0.229142329307964,0.7974976022562618,4.000409691529974,1.0537007115495818,3.5795836344161085,-0.44567728220876784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.084859555797905,-1.0724524095616097,-0.6895310070953103,-1.1303572401290884,-1.2686194523712295,0.7565163285860235,-0.9385353208469255,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.2787018388930774,0.20104056556299685,0.7974976022562618,4.000409691529974,0.4511351711213209,2.6385611991394127,-0.6921063015278467,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6011649256550085,0.23621322868548597,0.053983297580475736,4.000409691529974,0.02445362627752508,2.544458955611743,-0.44567728220876784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6011649256550085,0.31285021665280605,0.7974976022562618,4.000409691529974,-0.6953679112070459,2.356254468556404,-0.9385353208469255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.084859555797905,-1.070557330729579,0.3018213991390711,-1.2724400166981087,1.2067849299286537,-0.09040386316300182,-0.6921063015278467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.9236280124169395,0.3507517932934193,0.3018213991390711,4.000409691529974,-0.2165725898937794,2.2621522250287347,-0.44567728220876784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
